inside DefaultArgs : assigning default args
Network type:  uni
generating connection probabilities, NE, NI, K, thetaSig 1000 1000 100 0.75
generating  connectivity matrix... done!
Generating sparse representation ... done!
npost sum = 400891
convec sum =  400891
         125753 function calls (121864 primitive calls) in 0.639 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       64    0.000    0.000    0.000    0.000 {_sre.compile}
        1    0.000    0.000    0.002    0.002 figure.py:13(<module>)
       40    0.000    0.000    0.001    0.000 copy.py:66(copy)
        1    0.000    0.000    0.000    0.000 scale.py:96(LogScale)
        2    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        1    0.000    0.000    0.000    0.000 legend.py:35(DraggableLegend)
        1    0.000    0.000    0.000    0.000 linesearch.py:1(<module>)
       59    0.000    0.000    0.000    0.000 inspect.py:803(getargspec)
        9    0.000    0.000    0.004    0.000 pyparsing.py:1582(__init__)
        1    0.000    0.000    0.000    0.000 dviread.py:20(<module>)
        1    0.000    0.000    0.000    0.000 hashlib.py:55(<module>)
        1    0.000    0.000    0.000    0.000 flinalg.py:5(<module>)
        1    0.000    0.000    0.000    0.000 nnls.py:1(<module>)
       31    0.000    0.000    0.000    0.000 _inspect.py:159(formatargspec)
       86    0.000    0.000    0.003    0.000 docstring.py:100(dedent_interpd)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        1    0.000    0.000    0.000    0.000 Dialog.py:3(<module>)
    75/72    0.000    0.000    0.000    0.000 pyparsing.py:108(_ustr)
       46    0.000    0.000    0.001    0.000 pyplot.py:1945(<lambda>)
        1    0.000    0.000    0.000    0.000 text.py:1418(_AnnotationBase)
       69    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:2935(postParse)
        1    0.000    0.000    0.000    0.000 minpack.py:1(<module>)
        2    0.000    0.000    0.001    0.000 utils.py:1(<module>)
       12    0.000    0.000    0.000    0.000 posixpath.py:312(normpath)
     56/2    0.000    0.000    0.003    0.001 pyparsing.py:2557(parseImpl)
       32    0.000    0.000    0.000    0.000 pyparsing.py:1633(parseImpl)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.000    0.000 cobyla.py:9(<module>)
     20/2    0.000    0.000    0.000    0.000 pyparsing.py:2225(streamline)
       14    0.000    0.000    0.006    0.000 pyparsing.py:1705(__init__)
        6    0.000    0.000    0.000    0.000 function_base.py:9(linspace)
       70    0.000    0.000    0.002    0.000 docstring.py:112(<lambda>)
        1    0.000    0.000    0.000    0.000 textwrap.py:235(_wrap_chunks)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
       36    0.000    0.000    0.000    0.000 pyparsing.py:2279(__init__)
        1    0.000    0.000    0.030    0.030 patches.py:1625(BoxStyle)
        1    0.000    0.000    0.001    0.001 table.py:21(<module>)
      239    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       36    0.000    0.000    0.000    0.000 pyparsing.py:403(__iadd__)
      117    0.000    0.000    0.001    0.000 re.py:134(match)
        1    0.000    0.000    0.000    0.000 csc.py:1(<module>)
       72    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
      232    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
       22    0.000    0.000    0.002    0.000 genericpath.py:15(exists)
        1    0.000    0.000    0.000    0.000 lgmres.py:4(<module>)
     1587    0.000    0.000    0.000    0.000 {callable}
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
        1    0.000    0.000    0.000    0.000 zeros.py:2(<module>)
       91    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
        1    0.000    0.000    0.000    0.000 ssl.py:56(<module>)
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
    20/10    0.000    0.000    0.068    0.007 __init__.py:252(wrapper)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
      251    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       11    0.000    0.000    0.012    0.001 artist.py:1212(kwdoc)
       72    0.000    0.000    0.000    0.000 pyparsing.py:873(preParse)
      128    0.000    0.000    0.000    0.000 sre_compile.py:474(isstring)
       12    0.000    0.000    0.000    0.000 pyparsing.py:321(__delitem__)
        1    0.000    0.000    0.000    0.000 path.py:3(<module>)
       40    0.000    0.000    0.001    0.000 pyparsing.py:678(copy)
        5    0.000    0.000    0.000    0.000 {numpy.core.multiarray.zeros}
       90    0.000    0.000    0.000    0.000 sre_parse.py:225(_class_escape)
        1    0.000    0.000    0.000    0.000 _cm.py:5(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.001    0.001 markers.py:5(<module>)
       30    0.000    0.000    0.000    0.000 numerictypes.py:451(_add_array_type)
        1    0.000    0.000    0.000    0.000 core.py:2466(MaskedIterator)
        1    0.000    0.000    0.000    0.000 anneal.py:5(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:52(<module>)
       27    0.000    0.000    0.000    0.000 core.py:827(__init__)
        1    0.000    0.000    0.000    0.000 compressed.py:2(<module>)
        1    0.000    0.000    0.000    0.000 decimal.py:3757(Context)
        1    0.000    0.000    0.000    0.000 rfc822.py:71(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:2302(ConnectionStyle)
       13    0.000    0.000    0.000    0.000 posixpath.py:249(expanduser)
        7    0.000    0.000    0.000    0.000 parser.py:215(_convert)
      341    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
       55    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        5    0.000    0.000    0.061    0.012 tempfile.py:226(_mkstemp_inner)
        1    0.000    0.000    0.000    0.000 geo.py:302(InvertedAitoffTransform)
        1    0.000    0.000    0.000    0.000 interpolate.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:289(_add_types)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:91(load_library)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:717(PathPatch)
        1    0.000    0.000    0.000    0.000 tnc.py:33(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:346(_add_integer_aliases)
       20    0.000    0.000    0.000    0.000 cbook.py:381(is_string_like)
        1    0.000    0.000    0.000    0.000 umfpack.py:37(updateDictWithVars)
        1    0.000    0.000    0.000    0.000 spines.py:1(<module>)
       54    0.000    0.000    0.000    0.000 __init__.py:664(__getitem__)
       55    0.000    0.000    0.000    0.000 {all}
       20    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        5    0.000    0.000    0.000    0.000 tempfile.py:134(next)
       47    0.000    0.000    0.000    0.000 cbook.py:372(iterable)
        2    0.000    0.000    0.006    0.003 __init__.py:560(matplotlib_fname)
